ID,Tweets,Label,Remarks
1.01E+18,"@manojsinhabjp
@TRAI @DoT_India @sunilbmittal @VittalGopal @Airtel_Presence

Respected Manoj Sir

I feebup and Tire… https://t.co/UBxT4X1vsF",NSC,
1.01E+18,"@Airtel_Presence @airtelindia Guys, I've wasted my 2 hours sitting on your twitter page waiting for reply. You don'… https://t.co/DCf1lrhh6X",NSC,
1.01E+18,Still waiting for @Airtel_Presence assistance...seems @Airtel_Presence has forgotten that it's customer centric com… https://t.co/2c5hVMUHZr,NSC,
1.01E+18,@Airtel_Presence Guys mera samadhan kab hoga? Complaint number C3GSP20609775651,QRY,
1.01E+18,@Airtel_Presence  worst service provider in India.  I have tata docomo postpaid number DNC activated .still my pare… https://t.co/ck6IzMzme3,NSC,
1.01E+18,You are getting worse day by day @Airtel_Presence,NSC,
1.01E+18,"@Airtel_Presence I'm fed up now. Jio ka Volte 4G aata hai full bars aur @airtelindia ka 3G bhi dhang se nahi aata,… https://t.co/tJSBPDzTK3",NNW,
1.01E+18,#ripairtel4g india's top speed provider's @airtelindia @Airtel_Presence #providingtopspeed 1.38 Mbps https://t.co/fFIlMBd0aR,PNW,
1.01E+18,@Airtel_Presence can anybody reach me for help? @airtelindia I have network issues/ internet speed issues. I'm a ve… https://t.co/q6tNKZS4jf,NNW,
1.01E+18,"@Airtel_Presence no Airtel DTH service for the past 5 hours in Bangalore JP Nagar, no calls going through to 12150",NNW,
1.01E+18,@Airtel_Presence @airtelindia Following up since noon in store and also with customer care and since evening in… https://t.co/AtL0TcDxrW,NSC,
1.01E+18,Hello @Airtel_Presence don't know why my internet speed has suddenly dumped?,NNW,
1.01E+18,RT @chaituD: @Airtel_Presence Launches New Plan With 246GB Data; Revises Rs 149 Plan! @trakin https://t.co/hkMhxvs4Wc #TrakinTechOP6Giveaway,PPL,
1.01E+18,RT @chaituD: @Airtel_Presence Launches New Plan With 246GB Data; Revises Rs 149 Plan! @trakin https://t.co/hkMhxvs4Wc #TrakinTechOP6Giveaway,PPL,
1.01E+18,"@Airtel_Presence @airtelindia can you tell me what is the procedure for port from @reliancejio to @airtelindia 
Jio… https://t.co/QE4xGd3vT6",QRY,
1.01E+18,@Airtel_Presence  Great Service,PSC,
1.01E+18,@VodafoneIN ive paid my bill... as always!! Any update or fix for the issue? Or you are just going to drag this and… https://t.co/OSCE8qnK9c,NSC,
1.01E+18,@Airtel_Presence Best Service in the town.,PSC,
1.01E+18,@Airtel_Presence  but same problem of no network even after lot of time...,NNW,
1.01E+18,"@Airtel_Presence my no 9926450880
3 dys back i rqst for converting pstpd to prepd.
2dy mrng my postpaid sim gets di… https://t.co/Cs4lnpwIE0",PSC,
1.01E+18,@Airtel_Presence @JioCare please resolve ... both the screenshots are taken in same place and time. https://t.co/JZEoYkcnXi,NNW,
1.01E+18,@Airtel_Presence what the hell only Airtel can gve experience of 2g 3g 4g in 10 min https://t.co/yj00KwPnNh,NNW,
1.01E+18,@Airtel_Presence 4G data really sucks on my iPhone it’s 2 nd recharge since I bought airtel sim everytime I have sw… https://t.co/0GibVfF8YN,NNW,
1.01E+18,@Airtel_Presence @airtelindia from last two days again facing data speed issue...bill not open (pdf) pls do the needful,NNW,
1.01E+18,@Airtel_Presence Poor network coverage #sector137 #Noida #GulshanVivante #society not able to talk properly!! Please look into this,NNW,
1.01E+18,@Airtel_Presence I am not able to place call and access data services on my mobile even when there are 15 days left… https://t.co/VpU7mXRBVs,NNW,
1.01E+18,"RT @b_shashaank: Hey @Airtel_Presence why does your DTH connection go off the second it starts raining?
It's regretful that we have chosen…",NNW,
1.01E+18,@Airtel_Presence  what is the validity of 49 data pack,QRY,
1.01E+18,@airtelindia @Airtel_Presence @Airtel_Presence I got 1year Amazon Prime subscription free on the post paid offer it… https://t.co/7Ckn8M6a0S,PSC,
1.01E+18,"@airtelindia @Airtel_Presence 
At time ofDTH  purchase you guys told me offer 1M normal chanel + 3M of HD package f… https://t.co/qdgO4c8bdm",NSC,
1.01E+18,@Airtel_Presence Internet speed is great in selected areas.,PNW,
1.01E+18,Thank u @Airtel_Presence with ur awesome network i can't  even make a call,NNW,
1.01E+18,"@Airtel_Presence Ques, I have 4gb Hotspot, if I use up daily limit and also have used my monthly allowance, after t… https://t.co/P4g1d6o0VS",QRY,
1.01E+18,"@Airtel_Presence I am not able to add my 4g Hotspot account to my airtel app, my Hotspot number 7420082098",QRY,
1.01E+18,RT @ninadgadre1: Worst network I have ever experienced in recent times. @VodafoneIN you don't deserve loyal customers. You give shit connec…,NNW,
1.01E+18,"RT @Airtel_Presence: @sachinkumarsarv Hi! We are continually working to improve and enhance our network. To implement this, a site up-grada…",PPW,
1.01E+18,"@Airtel_Presence , The Airtel logo is at an inappropriate position on the Sun network HD channels of Tamil language… https://t.co/TFMOXa2dp2",NSC,
1.01E+18,"Hello @VodafoneIN 

As recommended i have changed the sim. Now i with new sim card still get bad network.I am in ba… https://t.co/kvRhX6ChFl",NNW,
1.01E+18,@Airtel_Presence my problem not yet sorted. Please do expect me to make payment towards any bills. I have gvn my co… https://t.co/Lh7qiJ4nQ2,NSC,
1.01E+18,@Airtel_Presence internet not working though 4g displayed in upper right corner https://t.co/NB2LMUce87,NNW,
1.01E+18,"@Airtel_Presence Nobody is trying to solve network issues at Ankura Pal, Odisha - 755026, log &amp; lat: 20.93106 &amp; 85.… https://t.co/X2paJGBG7C",NNW,
1.01E+18,"@airtelindia 
@Airtel_Presence 
""World Cup dekhne ka soch ke, Internet pack, bach ke rakhe, aur, suru hone se, 5 mi… https://t.co/vKmLzogDFn",NNW,
1.01E+18,@Airtel_Presence  You have still not resolved this issue this has been a consistent issue and this is not a fault b… https://t.co/ePepIvvx08,NSC,
1.01E+18,"RT @nikhilashukla: Dear @Airtel_Presence , @airtelindia and @TRAI here is the real picture of full DND activation. Is there any option for…",QRY,
1.01E+18,@Airtel_Presence @airtelindia  Check the 2G signals here provided in the screenshot. And https://t.co/FZitR2VPcG sh… https://t.co/sgSeaDD8Up,NNW,
1.01E+18,@Airtel_Presence @airtelindia @DoT_India @TRAI we are paying on the name of 4G. https://t.co/2oAD2LqfxO,NNW,
1.01E+18,@airtelindia @Airtel_Presence hey airtel is the 99 RS plan is available in Andhra Pradesh with one month validity,NPL,
1.01E+18,@Airtel_Presence : Dear Airtel your performance Credibility is going down by Miles. No Internet often in a day can… https://t.co/1Toq2S2b08,NSC,
1.01E+18,"@Airtel_Presence @TRAI @DoT_India @PMOIndia @manojsinhabjp 45 days ago recharged 8800270096, dey askd to give one m… https://t.co/4oJm0SUjGi",NPL,
1.01E+18,"@Airtel_Presence Such an unfortunate incidence and pathetic service from Airtel, my prepaid sim has not been activa… https://t.co/jG4vI2drII",NSC,
1.01E+18,"The very bad network in India is Airtel, they can't solve network issue in tripura north tripura district.....just… https://t.co/noqkJJ8X7h",NNW,
1.01E+18,@Airtel_Presence @airtelindia Yesterday was a hectic on my visit to Guntur &amp; Vijayawada. No proper network and data… https://t.co/p4regR9Xz4,NNW,
1.01E+18,@Airtel_Presence still waiting for resolution. 4G still not working and not even in domestic roaming.,NNW,
1.01E+18,"@Airtel_Presence I have a 150 rs in my main balance,so i want to recharge of rs 147, please tell me how to use main… https://t.co/o88NRxdC8V",QRY,
1.01E+18,"@airtelindia @Airtel_Presence @telinor @Uninor @TRAI 
 Dear all,
              Maine apne telinor  no 8445805669 ke… https://t.co/yiAhxrYYJm",QRY,
1.01E+18,@Airtel_Presence recharged my Airtel no. With 99/- unlimited call for 28 days.. but plan expired in 10 days.. kindl… https://t.co/Kav4jOb3l6,NSC,
1.01E+18,"@Airtel_Presence my number 9998343742 and 8401288434
Has no signal since last 14 hour 
And 121 has no detail for my both number.
What to do?",NSC,
1.01E+18,RT @rathoreanurag: complaint no- 75999665 @Airtel_Presence @rsprasad your consumer care person Akshay is not telling me the previous execut…,NSC,
1.01E+18,"@Airtel_Presence even 2g of other telecom companies have better internet speed,
I'm using airtel 4g but each and ev… https://t.co/S4jXLGweoH",NNW,
1.01E+18,"@Airtel_Presence @airtelindia @TRAI @rsprasad @consumercourtin @manojsinhabjp @DoT_India
Tagging all the officials… https://t.co/ITrBq5Pp5b",NSC,
1.01E+18,"Airtel is faster than flash in Amritsar. At 4G, download speed is 0.57mbps. @airtelindia @Airtel_Presence… https://t.co/VQDxTxr4lT",NNW,
1.01E+18,#ThugsOfHindostan @Airtel_Presence  please provide me mumbai’s nodal officer’s mobile number name and email id. If… https://t.co/DiGvs17auT,QRY,
1.01E+18,@Airtel_Presence is there no intimation before you bar a number regarding address verification. The whole exercise… https://t.co/TUcvHcFkk9,NSC,
1.01E+18,@Airtel_Presence  bahut acha hai,PSC,
1.01E+18,@Airtel_Presence @airtelindia I haven't seen any worst company in terms of customer's complaint resolution than you… https://t.co/NgxMoKKJFT,NSC,
1.01E+18,@airtelindia @Airtel_Presence I am really frustrated with the service. It has been almost 15 days and I am running… https://t.co/UCWGYwltML,NSC,
1.01E+18,"RT @PseudoLawyer: What’s the problem with your network, flipping 4G works worse than anything. @Airtel_Presence @airtelindia spending too m…",NNW,
1.01E+18,RT @iam_pramod_shah: I have taken a new sim in replacement of lost sim  from Airtel store. They told that sim will be started within 5 hour…,NSC,
1.01E+18,I have taken a new sim in replacement of lost sim  from Airtel store. They told that sim will be started within 5 h… https://t.co/uJfxKbBddx,NSC,
1.01E+18,"@airtelindia @Airtel_Presence 
My airtel no. is out of service since last 8 hours !!!!!",QRY,
1.01E+18,@Airtel_Presence please tell me how to do portability to  Jio @JioCare,NSC,
1.01E+18,@Airtel_Presence you guys really don't care about a long term customer is that it? Let me know so that I can take a… https://t.co/J2SgBMbiOd,NSC,
1.01E+18,"@Airtel_Presence it's been 2nd month money has been deducted from my account on the name of sms pack activation.
se… https://t.co/ZH73XHygzk",NPL,
1.01E+18,@NPCI_BHIM @NPCI_NPCI @Airtel_Presence  100 REWARD thank you https://t.co/DtfuOYJNsd,PSC,
1.01E+18,32000 has been deducted ? ye to aapka system hai jo bc 32 ko 32000 batata hai aur aap log saaf saaf jhoot bolte ho… https://t.co/pjcicR5O9P,NSC,
1.01E+18,Stop cheating us jio time to move to India's fastest network @JioCare @Airtel_Presence @airtelindia https://t.co/Bxx95dyG21,NSC,
1.01E+18,"@Airtel_Presence ye lo bhai.. India ka fastest network.. ookla trying to find a server since 5 minutes on ""E"" https://t.co/keacJff5ZS",NNW,
1.01E+18,Signal of @airtelindia @Airtel_Presence is not available for almost a month at Dhumacherra area,NNW,
1.01E+18,@Airtel_Presence not a single update from airtel.,NNW,
1.01E+18,"@Airtel_Presence 
When I select data with Airtel then network works.

Otherwise when I select data with another sim… https://t.co/VvpP2BIJp5",QRY,
1.01E+18,@Airtel_Presence  3G service is not working in malkapur area since 2 days. Pin code_ 443102,NNW,
1.01E+18,@Airtel_Presence No one is listening to my problem since yesterday it’s been a day without network.,NNW,
1.01E+18,@Airtel_Presence I am still waiting for my SRN numbers!!,NNW,
1.01E+18,"@Airtel_Presence @airtelindia @Airtel My number is 9891052041, I submitted my bill on 12 June but still my outgoing… https://t.co/cMZnAFvaUt",NSC,
1.01E+18,"@Airtel_Presence now I know how you idiot making us fool...
U promise me to give 1.4gb/day for 84 days nd..u give i… https://t.co/a4XRFbPq37",NSC,
1.01E+18,@airtelindia @Airtel_Presence  so many new dth boxes are available in Coimbatore but customer who is more than 10ye… https://t.co/bf6nWYNLvB,NSC,
1.01E+18,"Looks like @Airtel_Presence @airtelindia network connectivity has gone from bad to worst, now I think I should do w… https://t.co/aXPcCZCyB7",NNW,
1.01E+18,@Airtel_Presence @airtelindia fu...ng airtel.... Go to hell.... No network... No Internet...... Motherc...d,NNW,
1.01E+18,@Airtel_Presence Now Airtel is charging for MCA without consent of the customer.I converted from postpaid to prepai… https://t.co/JduYjSIc9c,NSC,
1.01E+18,@Airtel_Presence hey airtel last night my phone network is down and my phone net speed is very slow.please solve my… https://t.co/3E4Eh0bUQ0,NNW,
1.01E+18,Dear @Airtel_Presence I disconnected previous broadband and applied for new at a new location. Made advance 6 Month… https://t.co/m8fpovDRGg,NSC,
1.01E+18,@Airtel_Presence  @airtelindia Yr network really sucks.There no network in my home.I can't believe reputed company… https://t.co/CIeBB1CQZJ,NNW,
1.01E+18,"I'm facing internet problems in my secondary @airtelindia number, it's hard to reach customer care directly. Pls he… https://t.co/w41MboWT0t",NSC,
1.01E+18,"RT @Vimal72: Even your own site is not opening with your network @Airtel_Presence...! #pathetic @airtelindia
@TRAI
Is it time to switch the…",NNW,
1.01E+18,RT @sms044: @Vimal72 @Airtel_Presence @airtelindia @TRAI I m surprised that big giants are not looking for a quality bow a days... There we…,NNW,
1.01E+18,Suck with airtel i can not receive and make calls even after 24 hours of porting my number to Airtel from idea post… https://t.co/aVWhcEVK06,NNW,
1.01E+18,"I got cheated by airtel app it says full talk time but I got only Rs.81 , what's going on Airtel @airtelindia… https://t.co/PGB7jEOJTA",NPL,
1.01E+18,"I like love My Airtel App, buggless and neatly designed! Cheers @Airtel_Presence @airtelindia https://t.co/xL0xQUC6QF",PSC,
1.01E+18,"I love My Airtel App, buggless and neatly designed! Cheers @Airtel_Presence @airtelindia https://t.co/xL0xQUC6QF https://t.co/ZHYmJMMWgR",PSC,
1.01E+18,Thanks @Airtel_Presence for launching Volte service in our district.,PNW,
1.01E+18,Calling to Airtel customer care. They even don't know the reason just trying to meke me fool by saying sir please c… https://t.co/WVjJ6ggIqG,NSC,
1.01E+18,Why is Airtel sending me Eid Mubarak Messages and Eid Offers. I think technology has advanced to such level that yo… https://t.co/7crSWFWjpU,NSC,
1.01E+18,@Airtel_Presence I got a prepaid to postpaid sim swap on 8th June yo add it as a child number. Since then my servic… https://t.co/ZMu1MWr9zd,NNW,
1.01E+18,"@Airtel_Presence @airtelindia @OdishaReporter @otvnews @TimesNow Dear Airtel Customer, Airtel started cheating. Sta… https://t.co/8JPU5jJI58",NSC,
1.01E+18,RT @Sam_kings: Had a terrible experience with @Airtel_Presence international roaming pack. No data connection. As usual they reply immediat…,NNW,
1.01E+18,"@Airtel_Presence @airtelindia 121 is down as call is not connecting... @JioCare want to port to Jio from Airtel, please share the process.",NSC,
1.01E+18,@Airtel_Presence #worst #CustomerExperience still ignoring my problem after lot’s of tweets and filing consumer com… https://t.co/Pas9iOcCRu,NSC,
1.01E+18,"@Airtel_Presence madrchod ke baacho, 558 wala plan kitno ko dia hai? You assholes just know how to do marketing, pr… https://t.co/PhFMgJv50B",NPL,
1.01E+18,"@airtelindia @Airtel_Presence very bad signal/service in Mumbai, not able to download 10mb file since an hour",NNW,
1.01E+18,"@Airtel_Presence 
@airtelindia 
One of the poorest service... No complaints resulation despite continue complaint… https://t.co/WVJw1UVOWU",QRY,
1.01E+18,"@Airtel_Presence ITS BEEN 4 MONTHS AND DAILU I M sharing screenshot of promotional sms I received.

your company re… https://t.co/FzgPvjCPKx",NSC,
1.01E+18,@Airtel_Presence dont you have any shame to contact your customer? Sad to know that #writing mails to #ceo also did… https://t.co/AmWtDchOTO,NSC,
1.01E+18,@airtelindia @Airtel_Presence sir pincode 344021 me last 15 day se network kharab arha hai bat bhi nahi ho pa rahi… https://t.co/X8L5bqDyvg,NNW,
1.01E+18,Pathetic network @Airtel_Presence @airtelindia  why the hell you people don’t correct your network it’s been ‘more… https://t.co/Ok8sJfGa6b,NNW,
1.01E+18,Eid Mubarak @Airtel_Presence . I am tweeting this using mobile hotspot on a Jio network. Because your internet is n… https://t.co/bjh8RScgPH,NNW,
1.01E+18,"Oh fuck @airtelindia 

Mother fuckers implemented 1st  4G sevice in #Kolkata

&amp; Now when i try to call my wife, I g… https://t.co/3hh6TZQ3TS",NSC,
1.01E+18,"It’s a suggestion if you don’t mind...
Better to sell the #BhartiAirtel like the #easyday....I don’t think you are… https://t.co/Nknk8AgBzB",NSC,
1.01E+18,"It’s a suggestion if you don’t mind...
Better to sell the #BhartiAirtel like the #easyday....I don’t think you are… https://t.co/moNEXMaG6S",NSC,
1.01E+18,#Eid Mubarak @Airtel_Presence @airtelindia . I am tweeing this using Idea networks mobile hotspot. Your internet is… https://t.co/MfXYi7YVhe,NNW,
1.01E+18,@Airtel_Presence recharged my number with 995 plan. But not received 1gb monthly data as promised.,NSC,
1.01E+18,@Airtel_Presence your network sucks man. And you never call your customer regarding complain. Thinking of porting,NSC,
1.01E+18,RT @anshunm: Pathetic network @Airtel_Presence @airtelindia  why the hell you people don’t correct your network it’s been ‘more than 6 mont…,NNW,
1.01E+18,"@airtelindia @Airtel_Presence @DoT_India Hello team, good morning! From yesterday night don't have any network, eve… https://t.co/uWfavSTRzA",NNW,
1.01E+18,"@Airtel_Presence  my problem is still not resolved
Your customer care representative called me and said that my non… https://t.co/tGIh8zfXCp",NSC,
1.01E+18,@Airtel_Presence @Airtel_Presence Can you guys contact me?? I don't know why Airtel has become pathetic for the customers..! 9994879736,NSC,
1.01E+18,Absolutely shameless AIRTEL couldn’t call / text our nears &amp; dears on Eid sad to be with AIRTEL @Airtel_Presence… https://t.co/6jSsBDocMj,NSC,
1.01E+18,@airtelindia @Airtel_Presence I am trying to block 2 mobile numbers that were on a phone which is lost- From past 2… https://t.co/QJJdYHVZpu,QRY,
1.01E+18,"@airtelindia @Airtel_Presence Tower area - Fulang/Phulang, Pincode- 825408.
Initially it worked really well. AirTel… https://t.co/PRyhonNBA0",NNW,
1.01E+18,"@Airtel_Presence recently i faced a problem with my internet connection 01147501584 , it suddenly stopped. on my co… https://t.co/9jgCC9vInu",NNW,
1.01E+18,"@Airtel_Presence sir kya adhar card sey airtel payment bank ka paisa nikal sakta hai, kyu jis mobil no par adhar ad… https://t.co/dLINKcIrK8",QRY,
1.01E+18,"@Airtel_Presence just after 3 days, Another wierd service has been activated on my number automatically and robbed… https://t.co/bAV07QwAZ1",NSC,
1.01E+18,"@Airtel_Presence Pl be quick to response. Devrishi had called yesterday and told that it would be done by today.
An… https://t.co/ZkaQnLrPFk",NSC,
1.01E+18,Thank you @Airtel_Presence for upgrading network issues hopes it will be continue.,NNW,
1.01E+18,@Airtel_Presence @airtelindia Complaint No. 85911418 pathetic customer support. Spoke to one of excellent guy Mahes… https://t.co/BFTrBSkPhF,NSC,
1.01E+18,@Airtel_Presence I recharge my airtel dth for 1month on 22may and now it says it will get expired on 18jun. I call… https://t.co/R300K0vJUH,NSC,
1.01E+18,"@Airtel_Presence Hi, Why are random services being activated on my number. Have not opted for any of them still bei… https://t.co/uZ6ftA8t6N",NSC,
1.01E+18,RT @imaaansari: Eid Mubarak @Airtel_Presence . I am tweeting this using mobile hotspot on a Jio network. Because your internet is not conne…,NNW,
1.01E+18,@Airtel_Presence I have been waiting for 2 days for a revert on my DM! Please call me! Details sent to you via DM!,NSC,
1.01E+18,"RT @Sayank89: @Airtel_Presence @airtelindia since last night, facing no network /very poor network in my area. New Ashok Nagar 110096. Look…",NNW,
1.01E+18,@Airtel_Presence Network connectivity is disastarous at my place. Being in middle of town such service is not expec… https://t.co/nEpMFLRl4o,NNW,
1.01E+18,Need to block Uttar Pradesh Airtel numbers. Urgently. Pls help @airtelindia @Airtel_Presence https://t.co/JivuPIfjfr,QRY,
1.01E+18,@Airtel_Presence Today I ported to airtel but no incoming calls accepting..It's responding as Number does not exist… https://t.co/o9fouYTM8d,NSC,
1.01E+18,"@Airtel_Presence @airtelindia since last night, facing no network /very poor network in my area. New Ashok Nagar 11… https://t.co/mfgmLboeQ9",NNW,
1.01E+18,Everytime Live alert msg comes on my number ..plz stop this immediately @Airtel_Presence @airtelindia .It is very Irritating.,NSC,
1.01E+18,@Airtel_Presence have requested for dth connection but no one has contacted still.,NSC,
1.01E+18,Worst Service By No Network Coverage n internet is even not working from last 12 hrs @Airtel_Presence Loves To Take… https://t.co/Yf7EpdEvme,NNW,
1.01E+18,"this pack is not available or not found against my airtel number @airtelindia
@Airtel_Presence please help.

Airtel… https://t.co/sAuBLq9cQq",QRY,
1.01E+18,"Hey @Airtel_Presence , I pay Rs 400 per month for my postpaid connection and you guys give 60 GB on 99 Voucher for… https://t.co/65o5aFYElr",NSC,
1.01E+18,@Airtel_Presence I need to have my sim replaced but I cannot move around. I have called Customer Care and they insi… https://t.co/wXzURZQImt,NSC,
1.01E+18,@Airtel_Presence  no tower signal in ordnance estate ambernsth west .puncode 421502.,NNW,
1.01E+18,speed test at marimata square indore madhyapradesh @JioCare shame on you jio see the speed this is how 4g… https://t.co/w1UIR1YT6y,NNW,
1.01E+18,"this pack is not available or not found against my airtel number @airtelindia
@Airtel_Presence please help.

Airtel… https://t.co/8KPtUr9seK",NPL,
1.01E+18,This is how @Airtel_Presence don’t give a damn about #customer. #airtel #ir #scam. #mentaltorture @TRAI… https://t.co/PWgZfFsiWa,NSC,
1.01E+18,Pathetic network speeds with @Airtel_Presence... Four months since I raised a complaint... No action yet!!! Why do… https://t.co/OwuszPIybR,NNW,
1.01E+18,@Airtel_Presence ridiculous support from airtel now a days. My dth is not working since yesterday and I called the… https://t.co/lkGtEERKZm,NNW,
1.01E+18,"@Airtel_Presence all calls dropping today.
EID MUBARAK!!",NNW,
1.01E+18,@Airtel_Presence @airtelindia Successfully ported out of India's worst 4G Network and telecom operator.Thank You Ai… https://t.co/L8ukVQmtCl,NSC,
1.01E+18,@Airtel_Presence Hi Airtel IVR is not working properly...it's not responding after select Mobile service (1).. agai… https://t.co/cTtUIvr9Mz,NNW,
1.01E+18,"@Airtel_Presence, I have ported my airtel number to some other network. There is some unpaid bill. How and where sh… https://t.co/VLTmZ8T19F",NSC,
1.01E+18,"@airtelindia @Airtel_Presence URGENT. A VAS called ""Gamepind"" keeps getting activated on my number making my balanc… https://t.co/tHUb9wm8vt",NSC,
1.01E+18,speed test at marimata square indore madhyapradesh @JioCare shame on you jio see the speed this is how 4g… https://t.co/w1UIR1YT6y,PSC,
1.01E+18,@Airtel_Presence Airtel down down ...one of the worst services I have ever used in telecom sector still my incoming… https://t.co/NVuQX9807S,NNW,
1.01E+18,@Airtel_Presence @airtelindia I'm seriously sick and tired of your 4G connectivity. In a city like Mumbai if you ca… https://t.co/qg72JkuDIU,NNW,
1.01E+18,"@Airtel_Presence @airtelindia #airtel DTH replaces faulty STB with a faulty settopbox. TV doesn't work for a week,… https://t.co/yEoIdilI0n",NSC,
1.01E+18,RT @Cavikasrsomani: @Airtel_Presence @VodafoneIN @reliancejio @UfterYou Yet another bill is generated with same rental no discount as promi…,NSC,
1.01E+18,@VodafoneIN i am tired from @Airtel_Presence. Worst customer service from them. They #mentally #torture customers.… https://t.co/IwrwySD13g,NSC,
1.01E+18,@Airtel_Presence I am jio customer planning to port to airtel. I am welcome into airtel or not let find out. @ideacellular also seem good.,QRY,
1.01E+18,"Dear sir, airtel is using normal mobile numbers to advertise and it wastes our time everyrime we pick it unknowingl… https://t.co/XUqYmzLAGz",NSC,
1.01E+18,@reliancejio @JioCare can you tell me whether u have network coverage at mahaveer nagar at kandivli west.both… https://t.co/IghE82sCAN,QRY,
1.01E+18,@Airtel_Presence @airtelindia I got my bill for this month&amp;when I call to explain such a huge bill...I was told I g… https://t.co/04xTsOAISP,NSC,
1.01E+18,"@Airtel_Presence constantly being badgered by @ideacellular to convert to their postpaid, despite being on DND.late… https://t.co/EYZH3QlHAr",NSC,
1.01E+18,"Pathetic Network Coverage

Pathetic Internet Speed

@Airtel_Presence https://t.co/7NPGeunfWZ",NNW,
